,Favo,PN,RT,date,text
659178,1,3,0,2018-02-17,ビットコイン好調だけど ビットフライヤーでSFD発動しそう
377559,0,4,0,2017-12-08,ビットコインの上昇が異常すぎる。
14376,0,2,0,2016-06-10,ＵＦＪ一瞬プラ転 ビットコイン銘柄(〃艸〃)ﾑﾌｯ
178994,0,3,0,2017-08-24,ビットコイン1度勧められたけど悩むな～
39142,1,1,0,2017-01-05,ビットコインはちょっと違う気がします。株価ですね。
552664,1,0,0,2018-01-18,ビットコイン暴落で今がチャンスかと思ったがそもそも1ビットコインはおろか0.01も買えない←
420489,0,3,0,2017-12-17,zaifだけやたらとビットコイン上がってるのなんで
78558,0,4,0,2017-05-02,ビットコインはこれから騰がると聞いた
751091,0,2,0,2018-04-16,# 仮想通貨 # CRB Bittrex高騰/暴落 速報(5分前価格と比較) [ETH-CRB]-19.21% 【10%以上】の変動!アービトラージチャンス! # 拡散希望
274684,1,3,0,2017-11-02,"ビットコイン80万超えた(^^,"
641250,1,1,0,2018-02-10,BTC/JPY 売り買い交錯してるな～ 上か？下か？ 個人的には下ｗ # BTC # Bitcoin
531323,0,1,0,2018-01-16,もう、遅いやろ。
384529,0,3,0,2017-12-09,やってませーん。 それは時代遅れです。 ビットコインかモナーコインをやりましょーね
161625,1,2,1,2017-08-12,ナカーマ(*´Д`)ﾊｧﾊｧ
293891,0,2,0,2017-11-13,ビットコインだろうが、株だろうが下げた時にしか買えない。長期順張りの下落拾うなら、この方法しかない。 # 投資
453726,1,2,0,2017-12-23,え？ ゴール・D・ロジャー ビットコインの神らしいw
231270,0,2,1,2017-10-03,RT 古賀茂明はビットコイン取引所破綻はアメリカの陰謀だとでも暗に言いたいのかな？ビットコインはドルによる国際金融支配への挑戦だからと。 RT 報ステ古賀茂明「民主党の組合派の票が大量に共産党に流れた」
178877,1,1,0,2017-08-24,税金もだけど犯収法や資金決済法もしっかり適法にやってくれよ。ビットコインもきっちり本人確認する必要があるから簡単じゃないぞ > 送金サービス
253920,3,4,0,2017-10-21,ビットコイン見ても欲望で変な売り買いしそうなので、 リップル見て冷静に下拾っていこうー。ウキウキするぐらい安い。 スーパーの特売と思えば全然余裕だ！！！ # XRP
525624,0,0,0,2018-01-16,たぶんマイナス9000枚(ビットコイン)とかになりそう
406661,0,3,0,2017-12-13,$ NEM $ LTC につづいて リップル $ XRP までmoonか！というか主要なアルト大体高騰中やなぁ。これがアルト祭り... # 仮想通貨 # リップル # ビットコイン
338961,0,0,1,2017-12-01,ビットコイン下げー。底がみえん。
230000,1,3,0,2017-10-02,Bitcoinのfxだね。ぼちぼち頑張るわw
649281,0,4,0,2018-02-13,FX100万きた。さすがに上がっていきそう
698258,0,2,0,2018-03-09,ビットコインやばー(´･ω･`)
158069,0,2,0,2017-08-08,ビットコイン、ＸＥＭ(￣▽￣)
217332,13,1,38,2017-09-18,取引所へのサイバー攻撃やビットコイン（ＢＴＣ）採掘への参加が疑われており、経済制裁の強化で窮地に立たされる北朝鮮がＢＴＣに逃げ込もうとしている可能性がある。
586661,0,2,0,2018-01-27,17時00分現在のトレンド: # aniaca ホワイトハッカー バースデーカード コインチェック事件 無間地獄 ポイボ # yjtc ビットコイン決済サービス # 親父熱愛 # たーんおん アドニス 一般女性と結婚 返礼祭 ショコラフェス # resem34 メインクーン...
95622,2,4,0,2017-05-24,"bitcoin, いつ見ても単調増加してませんか おれもレートをbitcoinにしたい"
488378,3,1,0,2018-01-04,やすけりゃいいってもんじゃないぜ…
470333,0,4,0,2017-12-27,全部 Bitcoin に突っ込んだら倍は固いですよほんとですよ。
737835,0,1,0,2018-04-06,ビットコインと同じタイミングでいくつかの主要アルトがサポートラインで粘ることでカテナチオみたいになったりしないの？
397987,0,0,0,2017-12-11,GMOがビットコインの広告を電車内に出している時点で手を引いた方がいいものだといえよう。
619393,0,2,0,2018-02-04,それこそ話題のビットコイン？( ・◇・)？
644144,0,2,0,2018-02-11,〜第2回アンケート〜 仮想通貨Fxショート派？ ロング派？ どちらかというとで構いません # Zaif # zaif # 仮想通貨 # Bitcoin # BitCoin # ビットコイン # XRP # リップル # XEM # ネム # ショート # ロング # JPY # jpy # FX # トレード # 空売り # 取引 # コツコツ # 一万円チャレンジ
633518,1,3,0,2018-02-07,こ、これは！ビットコインそのものですね！ 個人的にユーチューブはやっておいた方がいいと思います。 ライバルがいないキーワードならユーチューブが上位表示されやすくなってきているのとそこからのリンクも力強いですしやらないよりやったほうがいい手法だと思います。 # 知らんけどな
641399,4,2,0,2018-02-10,基本的に暴落時にツイッターに出勤するのは、買い増すかどうかの検討を含め戦闘モードになるからだよね笑 みんなは上がってる時が楽しいんだろうけど、俺は上がってる時はあんま興味ないんだよね 下がってる時の自分の判断、行動の成果が出てるだけだから。 # 仮想通貨 # ビットコイン # イーサリアム
204863,1,0,0,2017-09-13,ビットコインめっちゃ下げとる・・・。
19124,1,1,0,2016-07-10,ビットコインの、上昇トレンド。私はデポジットないので取引できず
400433,0,3,0,2017-12-12,bitcoinの送金よりアマギフのコードメールで送った方が早いし、steamがやめるくらい安定はしてないから、仮想通貨が公的に使うものより私的に遊ぶものになる気がする。
162722,0,4,0,2017-08-13,寝ようと思ったのにビットコイン上がり出して寝れない。
195865,0,3,0,2017-09-06,2017-09-06 16:00~17:00のBitcoin市場は上げ一服だったみたいだね。 変化率は0.9277% 18:00までは反騰? 直近の市場の平均Bitcoinの価格は499691.0円 # ビットコイン # bitcoin # AI
391435,0,4,0,2017-12-10,サンタさんへ、クリスマスは枕元にビットコインでいいからね！
363463,0,4,0,2017-12-07,bitcoinの価格がかなり上がって面白いね！bitcoinから得た所得に対しての税金支払いを忘れないようにね(*'▽'*) 毎回新しい定めができると、大抵は見せしめに仮想通貨で申告せず（脱税）で逮捕とかニュースになるよね。 正しい申告を。
581627,0,1,0,2018-01-26,ビットコインは高いうち頭打ちが来るかもねえ
365897,1,3,0,2017-12-07,使える店は最近増えてきましたね。 ただ投資目的がメインですので、ぼくはビットコインなど仮想通貨で買い物したことはほとんどありません。
768270,0,2,0,2018-04-29,"取引所 買板 売板 Zaif 1,011,290円 1,011,320円 bitFlyer 1,008,964円 1,009,300円 coincheck 1,014,755円 1,015,617円 採掘済み割合 約80.97% 2018年04月29日09時45分01秒現在 # ビットコイン # Bitcoin # btc"
509402,1,1,0,2018-01-11,中国の野良採掘機ブームが止まったら一気に価値が下がりそうだな＞ビットコイン
574754,3,2,0,2018-01-24,＞しかし、ビットコインはそれを無視して価値が発生しているいうことも言っていました。 このくだりも面白いですね。DLT通貨の面白い所はそれ自体が信用（価値）創造である事です。無からお金が生じるのです。実際、BTCのHFでビットコインキャッシュという信用（価値）創造がなされました。
554354,0,2,1,2018-01-18,ビットコインって要するに地域振興券でしょ？（てきとう
671308,0,2,0,2018-02-22,"【高値】 1,140,515円/ # BTC @ # zaif 【安値】 1,030,000円/ # BTC @ # coincheck 現在、約10.73%の価格差となっております。 # ビットコイン # アービトラージ"
727986,1,4,0,2018-03-30,始めるならいまがいいですよね さすがにそろそら底かと。
529798,0,2,0,2018-01-16,"取引所 買板 売板 Zaif 1,712,310円 1,712,670円 bitFlyer 1,709,824円 1,710,845円 coincheck 1,711,748円 1,712,233円 市場規模 約28.69兆円 2018年01月16日00時00分02秒現在 # ビットコイン # Bitcoin # btc"
431273,0,1,0,2017-12-20,まああれだけ通貨として使えないとなるとBTCは下がって当然だよね。18万あたりで反発したけど、どうせfxとかの投機的なお金ばっかだろうし。BCHはfxやってるところ少ないからちゃんとBCHの将来性を見込んで流れ込んだお金だろうって思う。 # ビットコインキャッシュ # ビットコイン
328695,0,4,0,2017-11-29,ビットコイン爆発してるね
246266,0,3,0,2017-10-14,暗号通貨のでは無く、Bitcoinの終わりの始まりですね。
245496,2,1,0,2017-10-14,ビットコインのような仮想通貨があるではないか、と仰られると思いますが、所詮はクーポンと変わりありません。みんな必死になるから死ぬ程ではないだろう、と言うのは決してなく、寧ろ経済が機能しなくなることで人は死にます。
481405,0,3,0,2018-01-01,# 仮想通貨 # ADT Bittrex高騰/暴落 速報(5分前価格と比較) [ETH-ADT]-13.43% [ETH-RLC]7.21% [ETH-DNT]6.35% 【10%以上】の変動!アービトラージのチャンス!
191676,0,1,0,2017-09-03,ビットコインの昨日の急落では注文が通らないなんてこともあった。なす術なく含み損が膨れ上がる…かもしれない恐怖。
427499,0,3,0,2017-12-19,ビットコインは、真剣に導入を考えるべき通貨だと捉えています
467159,0,1,0,2017-12-26,ビットコインの申し込みもこねーし。。熱冷めちまったじゃねーか(´･ω･｀)
32426,0,3,0,2016-12-02,ビットコインすごいことになっちゃっってない？
65208,0,3,0,2017-03-20,わい、ビットコインから投資の世界に足を踏み入れ為替取引と株に興味を持つ人間。トレードのスキルは使い回せると期待。
344167,0,1,0,2017-12-02,けど今メモリとか高騰してるんよなあ。ビットコインってやつのせいだ。
630093,0,0,0,2018-02-06,# ビットコイン どこまで下げるん…(ヽ´ω`) 75万に設定したアラートもうすぐ鳴るで。。。 明日には60万台まで下げそうな勢いやなｗ
506943,0,0,0,2018-01-10,ビットコイン高い時に掴んじゃった最悪ー
471042,0,1,0,2017-12-28,"とりあえずビットコインを買うためにクレカの上限をアップしてたんだけど今月普段の10倍くらい使っててビビったわ(,´･ω･) 来年はいつものようにケチな生活しよ"
550591,0,2,0,2018-01-18,暗号通貨界隈では 本当のビットコイン は ビットコイン キャッシュ という話もあるのであながち間違いではない（小並感
457582,0,1,0,2017-12-24,ビットコインを抑制したのは先物市場だったか。
52053,0,3,0,2017-02-12,40万の使い道…。 為替デビューか、ビットコインか、優待株か、高配当株か、小口にして10万×4で遊ぶか… 迷えるなんて贅沢だな、お前
96000,0,2,0,2017-05-24,とんかつさんの大学に韓国人留学生のお友達や、国際交流関係の寮に住んでて、韓国のビットコインの口座を作れそうな人いないのだろうか？
8089,23,2,22,2016-03-31,お爺さんは、吹雪の中取り残された7体のモデラーソフト地蔵に次々とAutodesk笠をかけてやりました。ところが笠がひとつ足りなかったため、最後に残ったShade地蔵にはビットコインをかぶせてやりました。 # モデリング力高い童話
805693,0,1,0,2018-05-31,モナコインもビットコインも一緒くたにされて仮想通貨が危ないというのはどうしたものか。まー正確に言うとやはり100％安全なものではないけど、それを言ったらリアル通貨だってリスクはある。結局大切なものはお金では買えないんですよ。（話が変わってる）
196951,0,1,0,2017-09-06,ビットコイン暴落するたびにほらみろ！俺の言った通りだ！って人がわくけどだいたい3日もしないうちに元に戻るんよな。
129157,0,1,0,2017-07-11,ビットコインの消失の社長痩せて別人にすぎw
114699,6,3,1,2017-06-14,bitcoinは短期では一喜一憂してもいいと思うけど、長期では上がるから
722203,0,1,1,2018-03-25,# そこまで言って委員会 そもそも価値が変動する時点でビットコインは株と同じ。 そんなものに危険性がないわけがない
684307,1,3,0,2018-03-01,仮想通貨のビットコインなどメジャーなところは価値が下がっても回復しますがlCO＝後発非上場のコインは爆発的に上がるかも知れませんがほぼ変わらないものもありますね。
233099,4,2,0,2017-10-05,~人の行く裏に道あり花の山~ 多数が〇〇コインは上がるに違いないと言っているときは、すでに価値が上がりきっている 多数が知らないコインや材料を見出せた時だけ、そこに仕込むことができる 人と同じことばかりしていても 大して儲けることはできんよ # 仮想通貨 # ビットコイン
612945,0,2,0,2018-02-02,サロン！ビットコインの調子は？
206408,0,1,0,2017-09-14,この、ビットコインやばいんちゃうん？っていう不安感が蔓延すればするほど、暴落リスク上がるよな 損切りのタイミングまじで大事やと思われ
458885,0,3,1,2017-12-24,水曜夜、髪切ったとき、床屋さんがビットコインのこと口にしてたもんなあ。
183538,0,3,0,2017-08-29,北朝鮮リスクでビットコインまた伸びるかなー
533352,1,2,0,2018-01-17,# nhk11 ビットコイン！やっぱりね！
670901,0,3,0,2018-02-22,"# ビットコイン アビトラチャンス！ 買い: # Zaif 買値:1,043,990円( $ BTC /JPY) 売り: # BTCBOX 売値:1,072,289円( $ BTC /JPY) 2.71%以上の差が開いています！"
394620,0,3,0,2017-12-10,ビットコインで儲けたん？
60601,0,2,0,2017-03-09,無料スマホアプリで月に1500円の # ビットコイン が貰えるよ
804691,1,2,1,2018-05-30,仮想通貨「下落」ランキング ※3時間毎に更新！ BTG ¥684.719（-13.8%） CMT ¥41.836（-9.64%） RLC ¥193.199（-5.09%） BCD ¥315.036（-3.81%） TRX ¥6.813（-3.61%） ※binance取り扱い通貨限定 # 仮想通貨 # ビットコイン
538109,0,2,0,2018-01-17,まさおビットコインは予兆だったようだ。
243468,0,4,0,2017-10-13,ビットコインがひたすらあがってる
749748,2,3,0,2018-04-15,ビットコイン戻ってきたか
805783,2,2,0,2018-05-31,天からの贈り物ですね それを使うと、お爺ちゃんになりますよ
649862,0,1,0,2018-02-13,ビットコインに飛ばされて追い出されたwww
443888,0,3,0,2017-12-22,ネム、リップルも買い時だろうね。 イーサ関係は今後伸びると思う。 ビットコイン一強は今回で潮目が変わるんじゃないかな 結局時代は由緒ただしき仮想通貨を求めてる。 ロックフェラー、グーグルが覇権を取るんじゃないかな〜 ロスチャイルド系コインはないんだろうか？
136159,4,2,2,2017-07-18,集まった額で実現可能性の高いプランを提示します。(不満なら返金) 今のところ、赤坂、四谷三丁目、神田から徒歩5分内と新宿なら可能(既に目星の物件アリ)です。 三軒茶屋でもタイミング良く物件が出れば。恵比寿は厳しい。
339163,0,3,0,2017-12-01,ビットコインやるなら、法人成り
376347,0,1,0,2017-12-08,ビットコイン216万きてんね おれの108万L返してぇぇぇぇぇ！！！
3745,0,1,0,2016-02-19,@ tyk97 ドル崩壊してもビットコインは上がらないもんですかね？
392721,0,3,0,2017-12-10,結果論ではあるけれど、ビットコインがイメージ通り以上の動きだった。。こんなん抜けまくるご祝儀相場じゃん けど、やはりさとしがなんだかわからない以上、どうも参入する気になれないんだよなぁ。
227244,4,2,0,2017-09-29,ビットコインみたいに、CDを仮想通貨として流通させるヲタさんいないかな
106983,2,4,0,2017-06-03,またビットコインだけ淡々と上げとるなぁ
498283,0,3,0,2018-01-07,じゃあどんなビジネスが良いかって言ったら、やっぱりアフィリエイト的なものとビットコイン的なものの融合がたぶん今は一番良い ここをクリックしたら何コインとか、ここに文章を投稿すれば何コインとか、この問題を解いたら何コインとか、中高生でも出来る／中高生にしか出来ないことってあるでしょ
755022,0,4,0,2018-04-19,リップルきてるでー！ ちょくちょくビットコインの連動から外れるようになってきた、最高や。
181754,1,2,0,2017-08-27,私と同じモデルだ！！
119181,0,1,0,2017-06-20,Wirexカードは、VISAに変わったらATMで1万円未満の出金ができなくなった。 # Wirex # 悲報 # bitcoin
92359,0,1,0,2017-05-21,後発だと少しビビリ気味。堅実なビットコインは押し目がないので、倍とか狙うなら新興系ですかね。欲豚
354918,0,1,0,2017-12-06,ビットレ君だとビットコインしかやれないしなあ…指くわえすぎてふやけてるw
596774,0,3,0,2018-01-28,コインチェックの戦略として、以下の和田社長の考え方は共感。 「いろんな人の意見を聞いていると、丸まったアイデアになってしまう。自分で作れたからこそ、思い切った意思決定、『日本で一番簡単にビットコインを買える取引所』という尖ったサービスを作れた」
709478,1,2,0,2018-03-17,本職は、、、 やはり聞かないでおきます
636883,0,2,0,2018-02-08,ビットコインFX の自動売買アプリ制作中
104972,1,1,0,2017-05-30,ビットコイン、為替と同じような動きなら、持ち直しても上値は警戒されそうだなぁ
385137,0,1,0,2017-12-09,横から失礼しますm(_ _)m 今からビットコイン送金してトランザクション的にも間に合うのでしょうか？ みんな移しそうだし。気になるところです。。
672484,6,3,1,2018-02-23,トロンですが、チャート見てませんがおそらく買い時ですので絶頂よろしくお願いいたします笑 # trx # tron $ trx # btc # bitcoin
608672,4,0,0,2018-01-31,それにしてもdmm bitcoinのスプレッドが広すぎてクソ 投資初心者からスプレッドでボロ儲けしたコインチェックさんを見習ってるんじゃねえよ
74352,1,2,0,2017-04-17,これビットコインのウォレットのアドレスか？
222808,0,3,0,2017-09-24,個人向け国債vsビットコイン
390588,0,3,0,2017-12-10,ビットコイン値下がりしてる… じゃけん今のうちに買っておきましょうね
57955,1,3,0,2017-03-03,私がビットコインの話を始めた時は仕込んだ後だと考えてもらって間違いないです。
45907,0,2,0,2017-01-19,結果は言うまでもないねー 高モードループ→800回転7BCでヒット3連、400回転3BCでヒット単発。 あ、朝イチは2連続1BCだったんだよ、単＆単だけど、、、 設定5→謎の3連続1BCでヒット 普通に1500枚 隣の台って本当に出るんですね。。。
176241,0,0,0,2017-08-21,しかし先週ユーチューバーたちがVALUを全て売り抜いて大暴落。ビットコインでやりとりしているため金融商品取引法の対象外となり利用者保護がなされない。麻生大臣「消費者保護と新しいものを育てるのと両方考えなければならない」伊藤教授「納得感のあるルール作りが必要」 # wbs
94192,1,3,0,2017-05-23,コインチェックです ビットコイン建て225先物とかやってくれたら観戦したいなぁｗ
284789,1,3,0,2017-11-09,たむけん暗号通貨好きやな～ｗビットコインよりネムとリップルが好きらしいｗ
151247,1,2,0,2017-08-02,ビットコイン界隈、追ってなかったから記事を見ても用語が???だなぁ
639605,3,1,1,2018-02-09,巨人の足音みたいな地鳴り？重低音聞こえたので震えながらスリープするだす…
743702,1,1,0,2018-04-11,踊る大捜査線のレインボーブリッジで、最高のボス=権威がいる組織はボスのない組織に勝るという話がありました。嘘じゃないと思います。ただ、最高のボスを持ち続けることが不可能なのです。なので、ボスのいない組織の方が安定して運営できる。ビットコインにはボスはいません。 # ビットコイン
708035,0,2,0,2018-03-16,みそキャ
101652,0,1,0,2017-05-27,実際は触ってないからいまいち分からんのだけど、イケダハヤトさんに「まだビットコインで消耗してるの？」って煽れる位には下がってんのかな
255470,0,2,0,2017-10-21,だれか現在進行形でビットコイン持ってる人いない？
711099,0,1,0,2018-03-18,日本の鯨がbitcoinを売ったのか。
220636,12,1,0,2017-09-21,仮想通貨大ボーナス相場。 年次でたった１年勝ったくらいでドヤしてたら、 為替や株で何年も生き残っとる奴らに鼻で笑われるで その先がほんまの勝負やのに。 月次でちょっと勝ったくらいで… 日次で…（略） 短いほどに愚かや。
272568,0,2,0,2017-11-02,とりあえず、ビットコインがなんだとかあーだこーだ言ってる全く話も何も合わなそうなアカウントはスパブロしちゃえばいいのだ(* 'ω')ﾉ
503846,0,2,0,2018-01-09,今はコインエクスチェンジかクリプトブリッジってとこかな。クリプトピアは1月末頃に上場が決まった。クリプトブリッジなら所有してるモナコインでトレード出来るで。エクスチェンジならイーサかライトコインだったかな。ビットコインだと取引額が高いから微妙だった気がする。
184325,0,1,0,2017-08-29,ビットコイン少し売って資金調達してETH買ってICOトークンにする
775015,0,2,0,2018-05-05,# 仮想通貨 # BLITZ Bittrex高騰/暴落 速報(5分前価格と比較) [BTC-BLITZ]5.06%
585704,0,0,0,2018-01-27,ビットコイン仕事先の人が今事件になってるとこで取引してて10万円くらい戻ってこないって泣いてたなぁ。
94948,1,3,0,2017-05-23,今朝モーサテに出てたソシエテの人ビットコイン持ってるのか こんな感じでサラッと巨額のインカムゲイン抱えてる人沢山いそう
204683,0,3,0,2017-09-13,はい、時間かかっても大丈夫です。ありがとうございます!!
581842,0,2,0,2018-01-26,先輩に転職の相談したらいまはビットコインのエンジニアになればいいよwwwwwっていつにないハイテンションで返ってきてぽかーんとしてる そのあとブロックチェーンの話したら先輩のにわかがばればれだった
53489,3,3,2,2017-02-17,【welfunding】 新登場寄付型HYIP 0.07BTC一回の投資であとは自動更新してくれて楽チン＾＾ 最近はじまったばかりの良案件に乗り遅れるなー！！ # WFD # HYIP # ビットコイン
780847,0,2,0,2018-05-10,# 仮想通貨 # FTC Bittrex高騰/暴落 速報(5分前価格と比較) [BTC-FTC]7.55%
677912,0,1,0,2018-02-26,ビットコイン、そのうちにマイニングコストに報酬が見合わなくなるときがくるはずなんだが、その問題はどう解決するつもりなんじゃろう。
488178,0,3,0,2018-01-04,ビットコインおすすめ募
419971,0,4,0,2017-12-17,ビットコイン最高値更新したっぽい
351814,1,4,0,2017-12-06,ビットコインは200万までは行く気がしてるから更に買った。 とりあえず週中に仕込むと土日上がるからありがたいw
366850,0,2,0,2017-12-08,"結局ペロコインのセッティングできんかった(,^_^AビットコインFXで稼ぎてえけどセッティングの段階で頭がおもとーなってゲームに走ってしまう(,^_^Aガチャに金つぎ込んでしもうたしものすげーなさけのー感じるぜ(,^_^Aけど、ガチャでかわええ姫を手に入れたから無問題ぢゃで(,^_^Aまた明日ぢゃわ(,^_^A"
770845,0,2,0,2018-05-01,思わずリツイしたけどホームのバナーの文言あれはもしや…
475381,3,3,0,2017-12-29,元彼に3年半くらい前に出会った時、ビットコインのTシャツ着てた笑そして熱く語ってた笑
651257,0,3,0,2018-02-14,次会うときまでにビットコインで貯めときます
322752,0,3,0,2017-11-28,ユーロよりも廉価で取引されていた頃は安く品物を購入する為にビットコインの取引を円建て、ドル建てで比較して支払いをしたものだったが、銀行系が利ザヤを稼ぐようになって、投機対象となって価格が上がり安くなくなった。
749339,6,2,0,2018-04-15,まだお腹いっぱいです # いいねした人全員フォローする # リツイートした人全員フォローする # RTした人全員フォローする # スマホ美人 # わたさく # 病み垢さんフォロバする # 彼女とデートなうに使っていいよ # カメラマンさん募集 # 木村拓哉 # 有村架純 # ビットコイン
263351,10,2,0,2017-10-27,はい、おっしゃる通りリップル社、特にDavid SchwartzはXRPのことをdigital assetと呼ぶことがほとんどです。ただし、ビットコインのような他の仮想通貨にもcryptocurrencyと呼ぶことは稀で、ほとんどの場合digital assetと呼んでいます。
113531,0,1,0,2017-06-12,"明日のAimingとマネパの予想。 Aimingは、金曜日に出た材料大したこと無かったから、やや下落。 チョット期待値高すぎたんじゃないかな(~_~,) マネパをはじめ、ビットコイン関連銘柄は明日からもジワジワ上げてくと予想。 ビットコイン自体がまだまだ熱い⭐︎"
224966,0,3,0,2017-09-26,ビットコイン急上昇の原因は
663876,0,1,0,2018-02-19,そうだよきっと ホントに取引されてんのはビットコインだけで他は実際には取引されていないんだよ（憶測だよ） だからどんなに買いが入っても変わらないんだよ 買ったという事にしてあるだけで だから無いはずのネムまで入っていることになっている
285901,0,2,0,2017-11-09,現在のビットコインの価格は852763.0円です
431376,0,2,0,2017-12-20,お詫びはビットコインで受け付けております^^
88888,0,3,0,2017-05-17,シャープはウハウハ。後はチョロチョロ。 リスク（ビットコインの仲間）は20万が24万になったけど今持ってたなら3倍になってたンゴねぇ…
723477,0,2,0,2018-03-26,# 中学生の自分に教えたいこと選手権 お年玉全額ビットコインにツッパしとけ
711169,12,1,0,2018-03-18,ビットコイン、介護が必要な動きしてるね…
198913,0,2,0,2017-09-08,決済のやりとりするのに、計算が必要でその計算を接続したサーバが競って計算してるん。 その度合いに応じて生まれてくるビットコインを獲得する権利がゲットできたり...みたいな(*⁰▿⁰*)(超ざっくり
23192,0,3,0,2016-09-07,自分はトラベラーズノートを持っていたヨボなのでクレカの発達は嬉しいですが、各国の交通機関がオイスターカードやオクトパスカードになってしまうと不便です。いっそビットコインの世界共通プリペイドカードでもあればと。
102506,0,3,0,2017-05-28,仮想通貨はまだ適正価格がよく分からないから、botの自動売買に向いていると思う 株に比べると個人でもやりやすい # ビットコイン # BTC
281645,0,2,0,2017-11-06,【現在のビットコインの売却価格2】 ・bitbank：850619円（+2851円） ・フィスコ：850300円（+3865円） ・BtcBox：850316円（+3415円）
